class_index,category_id,species_name,common_name,family,genus,precision,recall,f1,support,class_accuracy
113,2284,Orthodera ministralis,Australian Green Mantis,Mantidae,Orthodera,1.0,0.9,0.9473684210526315,10,0.9
114,2297,Chrysopa oculata,Chrysopa oculata,Chrysopidae,Chrysopa,1.0,1.0,1.0,10,1.0
115,2303,Libelloides coccajus,Owly Sulphur,Myrmeleontidae,Libelloides,1.0,1.0,1.0,10,1.0
116,2332,Calopteryx maculata,Ebony Jewelwing,Calopterygidae,Calopteryx,1.0,1.0,1.0,10,1.0
117,2369,Enallagma cyathigerum,Common Blue Damselfly,Coenagrionidae,Enallagma,0.8571428571428571,0.6,0.7058823529411765,10,0.6
118,2375,Enallagma geminatum,Skimming Bluet,Coenagrionidae,Enallagma,0.8181818181818182,0.9,0.8571428571428571,10,0.9
119,2427,Erpetogomphus designatus,Eastern Ringtail,Gomphidae,Erpetogomphus,0.9090909090909091,1.0,0.9523809523809523,10,1.0
120,2432,Hagenius brevistylus,Dragonhunter,Gomphidae,Hagenius,1.0,0.9,0.9473684210526315,10,0.9
121,2463,Lestes virens,Small Spreadwing,Lestidae,Lestes,0.9090909090909091,1.0,0.9523809523809523,10,1.0
122,2527,Neurothemis taiwanensis,Neurothemis taiwanensis,Libellulidae,Neurothemis,1.0,1.0,1.0,10,1.0
123,2628,Pseudochorthippus curtipennis,Marsh meadow grasshopper,Acrididae,Pseudochorthippus,0.75,0.9,0.8181818181818182,10,0.9
124,2633,Schistocerca obscura,Obscure Bird Grasshopper,Acrididae,Schistocerca,1.0,1.0,1.0,10,1.0
125,2668,Conocephalus fuscus,Long-winged Conehead,Tettigoniidae,Conocephalus,0.8181818181818182,0.9,0.8571428571428571,10,0.9
126,2702,Faxonius virilis,Virile Crayfish,Cambaridae,Faxonius,0.9,0.9,0.9,10,0.9
127,2736,Petrolisthes elongatus,New Zealand Half Crab,Porcellanidae,Petrolisthes,0.9090909090909091,1.0,0.9523809523809523,10,1.0
128,2769,Pimephales notatus,Bluntnose Minnow,Cyprinidae,Pimephales,0.7692307692307693,1.0,0.8695652173913043,10,1.0
129,2770,Rhinichthys atratulus,Blacknose Dace,Cyprinidae,Rhinichthys,1.0,0.9,0.9473684210526315,10,0.9
130,2773,Squalius cephalus,Chub,Cyprinidae,Squalius,0.8181818181818182,0.9,0.8571428571428571,10,0.9
131,2800,Lepomis auritus,Redbreast Sunfish,Centrarchidae,Lepomis,0.9090909090909091,1.0,0.9523809523809523,10,1.0
132,2812,Chaetodon capistratus,Four-eyed Butterflyfish,Chaetodontidae,Chaetodon,0.9090909090909091,1.0,0.9523809523809523,10,1.0
133,2836,Eupetrichthys angustipes,Snakeskin Wrasse,Labridae,Eupetrichthys,0.8888888888888888,0.8,0.8421052631578947,10,0.8
134,2855,Parupeneus spilurus,Blackspot Goatfish,Mullidae,Parupeneus,1.0,0.9,0.9473684210526315,10,0.9
135,2858,Perca flavescens,Yellow Perch,Percidae,Perca,0.875,0.7,0.7777777777777778,10,0.7
136,2866,Abudefduf vaigiensis,Indo-Pacific Sergeant Major,Pomacentridae,Abudefduf,1.0,1.0,1.0,10,1.0
137,2878,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,Aplodinotus,1.0,0.8,0.8888888888888888,10,0.8
138,2884,Paralabrax clathratus,Kelp Bass,Serranidae,Paralabrax,0.8333333333333334,1.0,0.9090909090909091,10,1.0
139,2914,Plotosus lineatus,Striped Eel Catfish,Plotosidae,Plotosus,0.8888888888888888,0.8,0.8421052631578947,10,0.8
