class_index,category_id,species_name,common_name,family,genus,precision,recall,f1,support,class_accuracy
53,1076,Melipotis acontioides,Royal Poinciana Moth,Erebidae,Melipotis,0.375,0.3,0.3333333333333333,10,0.3
54,1103,Pantydia sparsa,Pantydia sparsa,Erebidae,Pantydia,0.8888888888888888,0.8,0.8421052631578947,10,0.8
55,1164,Chiasmia clathrata,Latticed Heath,Geometridae,Chiasmia,0.875,0.7,0.7777777777777778,10,0.7
56,1167,Chlorochlamys chloroleucaria,Blackberry Looper,Geometridae,Chlorochlamys,0.7,0.7,0.7,10,0.7
57,1176,Colotois pennaria,Feathered Thorn,Geometridae,Colotois,0.0,0.0,0.0,10,0.0
58,1233,Idaea aversata,Riband Wave,Geometridae,Idaea,0.45454545454545453,0.5,0.47619047619047616,10,0.5
59,1242,Ilexia intractata,Black-dotted Ruddy Moth,Geometridae,Ilexia,0.5714285714285714,0.4,0.47058823529411764,10,0.4
60,1297,Probole amicaria,Alien Probole Moth,Geometridae,Probole,0.8888888888888888,0.8,0.8421052631578947,10,0.8
61,1314,Tetracis cachexiata,White Slant-line,Geometridae,Tetracis,0.5,0.9,0.6428571428571429,10,0.9
62,1315,Tetracis crocallata,Yellow Slant-line,Geometridae,Tetracis,0.6666666666666666,0.8,0.7272727272727273,10,0.8
63,1335,Ancyloxypha numitor,Least Skipper,Hesperiidae,Ancyloxypha,0.2857142857142857,0.2,0.23529411764705882,10,0.2
64,1346,Burnsius philetas,Desert Checkered-Skipper,Hesperiidae,Burnsius,1.0,0.4,0.5714285714285714,10,0.4
65,1362,Erynnis juvenalis,Juvenal's Duskywing,Hesperiidae,Erynnis,0.5,0.1,0.16666666666666666,10,0.1
66,1374,Iambrix salsala,Chestnut Bob,Hesperiidae,Iambrix,1.0,0.5,0.6666666666666666,10,0.5
67,1376,Lerodea eufala,Eufala Skipper,Hesperiidae,Lerodea,0.2,0.2,0.2,10,0.2
68,1378,Lon melane,Umber Skipper,Hesperiidae,Lon,0.0,0.0,0.0,10,0.0
69,1393,Polites mystic,Long Dash Skipper,Hesperiidae,Polites,0.6,0.3,0.4,10,0.3
70,1405,Thymelicus lineola,European Skipper,Hesperiidae,Thymelicus,0.3125,0.5,0.38461538461538464,10,0.5
71,1408,Urbanus dorantes,Dorantes Longtail,Hesperiidae,Urbanus,0.5,0.1,0.16666666666666666,10,0.1
72,1430,Euclea incisa,Green Oak-Slug Moth,Limacodidae,Euclea,0.6666666666666666,0.2,0.3076923076923077,10,0.2
73,1439,Anthene emolus,Common Ciliate Blue,Lycaenidae,Anthene,0.7272727272727273,0.8,0.7619047619047619,10,0.8
74,1455,Catochrysops strabo,Forget-me-not,Lycaenidae,Catochrysops,0.36,0.9,0.5142857142857142,10,0.9
75,1458,Celastrina ladon,Spring Azure,Lycaenidae,Celastrina,0.875,0.7,0.7777777777777778,10,0.7
76,1469,Cyaniris semiargus,Mazarine Blue,Lycaenidae,Cyaniris,0.0,0.0,0.0,10,0.0
77,1485,Icaricia icarioides,Boisduval's Blue,Lycaenidae,Icaricia,0.25,0.2,0.2222222222222222,10,0.2
78,1493,Leptotes marina,Marine Blue,Lycaenidae,Leptotes,0.6666666666666666,0.4,0.5,10,0.4
79,1534,Satyrium titus,Coral Hairstreak,Lycaenidae,Satyrium,1.0,0.4,0.5714285714285714,10,0.4
80,1583,Autographa californica,Alfalfa Looper,Noctuidae,Autographa,0.25,0.3,0.2727272727272727,10,0.3
81,1649,Lithacodia musta,Small Mossy Lithacodia,Noctuidae,Lithacodia,0.7777777777777778,0.7,0.7368421052631579,10,0.7
82,1653,Maliattha synochitis,Black-dotted Maliattha,Noctuidae,Maliattha,0.6666666666666666,0.4,0.5,10,0.4
83,1691,Ponometia semiflava,Half-yellow Moth,Noctuidae,Ponometia,0.6,0.9,0.72,10,0.9
84,1729,Pseudoips prasinana,Green Silver-lines,Nolidae,Pseudoips,0.5,0.7,0.5833333333333334,10,0.7
