class_index,category_id,species_name,precision,recall,f1,support
153,3306,Archilochus alexandri,0.75,0.6,0.6666666666666666,10
154,3321,Heliodoxa jacula,0.9090909090909091,1.0,0.9523809523809523,10
155,3358,Charadrius obscurus,0.4375,0.7,0.5384615384615384,10
156,3364,Charadrius wilsonia,0.5714285714285714,0.8,0.6666666666666666,10
157,3367,Pluvialis dominica,0.5833333333333334,0.7,0.6363636363636364,10
158,3372,Vanellus coronatus,0.8,0.8,0.8,10
159,3385,Haematopus palliatus,0.5454545454545454,0.6,0.5714285714285714,10
160,3398,Chroicocephalus hartlaubii,0.4,0.2,0.26666666666666666,10
161,3402,Chroicocephalus ridibundus,0.25,0.1,0.14285714285714285,10
162,3410,Larus cachinnans,0.3076923076923077,0.4,0.34782608695652173,10
163,3417,Larus glaucescens,0.4117647058823529,0.7,0.5185185185185185,10
164,3481,Numenius madagascariensis,0.9,0.9,0.9,10
165,3490,Tringa glareola,0.8571428571428571,0.6,0.7058823529411765,10
166,3529,Patagioenas flavirostris,0.75,0.6,0.6666666666666666,10
167,3635,Pavo cristatus,0.6,0.6,0.6,10
168,3673,Zapornia flavirostra,0.9,0.9,0.9,10
169,3715,Passerina ciris,0.8,0.4,0.5333333333333333,10
170,3719,Pheucticus chrysopeplus,0.7,0.7,0.7,10
171,3728,Certhia americana,0.6923076923076923,0.9,0.782608695652174,10
172,3759,Corvus ossifragus,0.5,0.4,0.4444444444444444,10
173,3777,Psilorhinus morio,0.5,0.5,0.5,10
174,3778,Pyrrhocorax graculus,0.875,0.7,0.7777777777777778,10
175,3804,Taeniopygia bichenovii,0.5,0.5,0.5,10
176,3828,Loxia curvirostra,0.75,0.3,0.42857142857142855,10
177,3849,Hirundo rustica,0.2,0.1,0.13333333333333333,10
178,3859,Riparia riparia,0.375,0.3,0.3333333333333333,10
179,3860,Stelgidopteryx ruficollis,0.5,0.6,0.5454545454545454,10
180,3865,Tachycineta thalassina,0.3333333333333333,0.2,0.25,10
