epoch,head_lr,backbone_lr,train_loss,train_top1_accuracy,train_seconds,val_loss,val_top1_accuracy,val_top5_accuracy,val_macro_f1,val_seconds,train_images_per_second,val_images_per_second,peak_gpu_memory_mb
16,0.001591907399769548,,4.829805886840821,0.12245,25.7363863999999,5.053890899658203,0.10599999992847442,0.2591999994754791,0.08947509068138249,3.192876499999329,777.1098742906687,1565.9860317181233,3336.91943359375
17,0.001540468527029206,,4.781497956848145,0.12825,25.3268250000001,4.918805029296875,0.12959999861717225,0.29120000042915345,0.10954292836038199,2.6627361999999266,789.6765583526526,1877.7676887406788,3336.91943359375
18,0.0014869361373606976,,4.740564631652832,0.13165,25.5162765999994,5.023183969879151,0.10300000007152557,0.264,0.08442584946362802,3.583785499999067,783.8134189218058,1395.1727858716158,3336.91943359375
19,0.0014315214986494215,,4.724061357879639,0.13715,25.780053600001338,4.883029415130615,0.12360000100135803,0.30420000042915346,0.10335696700987233,2.907827200000611,775.7935770932207,1719.4969494744905,3336.91943359375
20,0.0013744433071578308,,4.67416960144043,0.1439,25.38255880000179,4.941096644592285,0.11519999957084656,0.2823999988555908,0.09928650107615952,2.720641300000352,787.9426246024727,1837.8019917581023,3336.91943359375
21,0.0013159268244311974,,4.643633095550537,0.1524,24.85688950000076,4.87735401763916,0.13340000038146974,0.30760000133514404,0.11528586285781822,2.7394610999999713,804.6059021181788,1825.1764918290141,3336.91943359375
22,0.0012562029882932056,,4.604165045928955,0.1587,24.96267160000025,4.818365930175781,0.13319999871253968,0.32080000176429746,0.1142549161806565,2.622770699999819,801.1962950311697,1906.380912368872,3336.91943359375
23,0.001195507501439867,,4.574050337982178,0.1621,24.99514579999959,4.8479373764038085,0.13280000047683715,0.3109999982357025,0.11166296017626806,2.664081499999156,800.1553645668403,1876.819459165038,3336.91943359375
24,0.001134079901228661,,4.550316629028321,0.1659,25.218360800001392,4.82492875289917,0.14180000047683716,0.32119999713897707,0.11961798070283654,2.6958022999988316,793.0729581757311,1854.7354158731027,3336.91943359375
25,0.0010721626143340198,,4.533429167938232,0.17005,25.053275300000678,4.778154209136963,0.14759999928474427,0.3324000014781952,0.12697594682698393,2.714054299998679,798.2988156442547,1842.2623305666484,3336.91943359375
26,0.0010099999999999996,,4.5096664848327634,0.172,25.170749999999316,4.771830722045898,0.1473999993801117,0.3307999980449676,0.12501491441897034,2.65941439999915,794.5730659595182,1880.1131557389467,3336.91943359375
27,0.0009478373856659794,,4.4826926895141606,0.1811,25.79404810000051,4.761162661743164,0.14540000071525574,0.32980000190734865,0.12520441546837308,2.82437469999968,775.3726721165417,1770.3033524555244,3336.91943359375
28,0.0008859200987713384,,4.473616882324219,0.1844,25.743717499999548,4.731050634765625,0.15420000021457672,0.3460000016689301,0.13188744890908924,2.8018874999997934,776.8885748532764,1784.511333877741,3336.91943359375
29,0.0008244924985601322,,4.433645252990723,0.19025,25.498458800000662,4.669821575927735,0.16779999976158141,0.36580000071525576,0.14752557869873326,2.687710000000152,784.3611316617881,1860.3197517588271,3336.91943359375
30,0.0007637970117067934,,4.415092987060547,0.19155,25.47356790000049,4.710114521789551,0.15839999935626983,0.3498000008106232,0.13628420641269587,2.5823490000002494,785.1275517631598,1936.2216338688215,3336.91943359375
