class_index,category_id,species_name,common_name,family,genus,precision,recall,f1,support,class_accuracy
88,1840,Dryas iulia,Julia Butterfly,Nymphalidae,Dryas,0.9090909090909091,1.0,0.9523809523809523,10,1.0
89,1854,Euphydryas phaeton,Baltimore Checkerspot,Nymphalidae,Euphydryas,0.75,0.9,0.8181818181818182,10,0.9
90,1908,Limenitis arthemis,Red-spotted Admiral,Nymphalidae,Limenitis,0.875,0.7,0.7777777777777778,10,0.7
91,1938,Nymphalis antiopa,Mourning Cloak,Nymphalidae,Nymphalis,0.4444444444444444,0.4,0.42105263157894735,10,0.4
92,1968,Smyrna blomfildia,Blomfild's Beauty,Nymphalidae,Smyrna,0.6428571428571429,0.9,0.75,10,0.9
93,2009,Papilio anactus,Dainty Swallowtail,Papilionidae,Papilio,0.75,0.6,0.6666666666666666,10,0.6
94,2034,Papilio thoas,Thoas Swallowtail,Papilionidae,Papilio,1.0,0.8,0.8888888888888888,10,0.8
95,2073,Eurema daira,Barred Yellow,Pieridae,Eurema,0.7777777777777778,0.7,0.7368421052631579,10,0.7
96,2077,Glutophrissa drusilla,Florida White,Pieridae,Glutophrissa,0.9,0.9,0.9,10,0.9
97,2092,Pieris brassicae,Large White Butterfly,Pieridae,Pieris,1.0,0.6,0.75,10,0.6
98,2129,Moodna ostrinella,Darker Moodna Moth,Pyralidae,Moodna,1.0,0.9,0.9473684210526315,10,0.9
99,2139,Calephelis nemesis,Fatal Metalmark,Riodinidae,Calephelis,0.6153846153846154,0.8,0.6956521739130435,10,0.8
100,2145,Melanis pixe,Red-bordered Pixie,Riodinidae,Melanis,1.0,1.0,1.0,10,1.0
101,2149,Anisota senatoria,Orange-tipped Oakworm Moth,Saturniidae,Anisota,0.9,0.9,0.9,10,0.9
102,2161,Hemileuca maia,Buck Moth,Saturniidae,Hemileuca,0.625,0.5,0.5555555555555556,10,0.5
103,2166,Saturnia pavonia,Small Emperor Moth,Saturniidae,Saturnia,0.8888888888888888,0.8,0.8421052631578947,10,0.8
104,2167,Saturnia pyri,Giant Peacock Moth,Saturniidae,Saturnia,1.0,1.0,1.0,10,1.0
105,2185,Dolba hyloeus,Pawpaw Sphinx Moth,Sphingidae,Dolba,0.6,0.6,0.6,10,0.6
106,2198,Hippotion scrofa,Hippotion scrofa,Sphingidae,Hippotion,0.6363636363636364,0.7,0.6666666666666666,10,0.7
107,2211,Paonias excaecata,Blinded Sphinx Moth,Sphingidae,Paonias,1.0,0.6,0.75,10,0.6
108,2222,Sphinx pinastri,Pine Hawk-Moth,Sphingidae,Sphinx,0.5384615384615384,0.7,0.6086956521739131,10,0.7
109,2235,Argyrotaenia velutinana,Red-banded Leafroller,Tortricidae,Argyrotaenia,1.0,0.9,0.9473684210526315,10,0.9
110,2246,Cydia latiferreana,Filbertworm Moth,Tortricidae,Cydia,0.9090909090909091,1.0,0.9523809523809523,10,1.0
111,2249,Epiblema otiosana,Bidens Borer Moth,Tortricidae,Epiblema,0.9090909090909091,1.0,0.9523809523809523,10,1.0
